create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 04:15:00,BTCUSDT,99382.1920000000000000,7651843610.0585830000000000,1.15605073,1.11749100,1.12940402,0.82241400
2026-05-25 04:20:00,BTCUSDT,99361.6750000000000000,7653829825.2500000000000000,1.15524976,1.11737300,1.12801893,0.67024000
2026-05-25 04:25:00,BTCUSDT,99379.4790000000000000,7659872102.8830000000000000,1.15688860,1.11781700,1.13014739,2.58812100
2026-05-25 04:30:00,BTCUSDT,99382.2520000000000000,7666247537.0280000000000000,1.15786941,1.11769500,1.13180465,2.32056300
2026-05-25 04:35:00,BTCUSDT,99376.7570000000000000,7662673415.0261000000000000,1.15851659,1.11753000,1.13352352,1.03151200
2026-05-25 04:40:00,BTCUSDT,99589.3800000000000000,7680311805.2483520000000000,1.15921285,1.11788000,1.13401879,1.02150400
2026-05-25 04:45:00,BTCUSDT,99554.4540000000000000,7687077254.7192000000000000,1.15888683,1.11828000,1.13467902,2.16406500
2026-05-25 04:50:00,BTCUSDT,99584.8830000000000000,7691478272.4582000000000000,1.16072097,1.11830800,1.13594967,1.48264800
2026-05-25 04:55:00,BTCUSDT,99656.5600000000000000,7707557938.2720000000000000,1.15326276,1.11739100,1.12780652,1.39402900
2026-05-25 05:00:00,BTCUSDT,99669.0340000000000000,7710026620.8444780000000000,1.15127600,1.11860400,1.12521460,1.91084000
2026-05-25 05:05:00,BTCUSDT,99653.8720000000000000,7703955148.9453360000000000,1.15077299,1.11899700,1.12456686,0.74473700
2026-05-25 05:10:00,BTCUSDT,99679.1800000000000000,7711231204.3900000000000000,1.14803230,1.11859800,1.12161551,1.77894600
2026-05-25 05:15:00,BTCUSDT,99685.3550000000000000,7714408288.0954240000000000,1.14718661,1.11818700,1.12032143,1.26205700
2026-05-25 05:20:00,BTCUSDT,99811.0360000000000000,7722970427.8178120000000000,1.14607198,1.12264500,1.12027979,2.21300600
2026-05-25 05:25:00,BTCUSDT,99793.8540000000000000,7718997599.2996480000000000,1.14417145,1.12218600,1.11783360,0.59061400
2026-05-25 05:30:00,BTCUSDT,99718.8700000000000000,7714618858.3772310000000000,1.12839811,1.12340000,1.10430102,0.33710600
2026-05-25 05:35:00,BTCUSDT,99756.3540000000000000,7720942286.8920000000000000,1.12592593,1.12557900,1.10055880,0.86087800
2026-05-25 05:40:00,BTCUSDT,99775.2640000000000000,7724364341.7964760000000000,1.12564819,1.12469500,1.10182848,1.33908000
2026-05-25 05:45:00,BTCUSDT,99783.0690000000000000,7725766862.5821705000000000,1.12268835,1.12439300,1.09918436,1.15250000
2026-05-25 05:50:00,BTCUSDT,99767.1360000000000000,7722060364.4159500000000000,1.12131845,1.12369500,1.09805710,0.55917800
2026-05-25 05:55:00,BTCUSDT,99783.2070000000000000,7721992888.3539000000000000,1.11887460,1.12311200,1.09507285,1.21906800
2026-05-25 06:00:00,BTCUSDT,99781.0460000000000000,7720252689.9413740000000000,1.11813116,1.12257900,1.09425841,0.70543700
2026-05-25 06:05:00,BTCUSDT,99786.2160000000000000,7717156608.1704000000000000,1.11631834,1.12264400,1.09168805,0.55021000
2026-05-25 06:10:00,BTCUSDT,100109.9100000000000000,7764961708.1726180000000000,1.11303040,1.13154100,1.09738573,2.49669800
2026-05-25 06:15:00,BTCUSDT,100083.1240000000000000,7736285368.8264000000000000,1.10999741,1.12779400,1.09364702,0.42730700
2026-05-25 06:20:00,BTCUSDT,100065.8960000000000000,7731052582.9120570000000000,1.10184232,1.12671400,1.08371247,0.44570600
2026-05-25 06:25:00,BTCUSDT,100066.5340000000000000,7725098886.0475730000000000,1.09939186,1.12640500,1.07966740,0.70403000
2026-05-25 06:30:00,BTCUSDT,100033.2930000000000000,7726591336.8910180000000000,1.09754428,1.12703000,1.07661611,1.17995800
2026-05-25 06:35:00,BTCUSDT,100077.0750000000000000,7738300501.6716000000000000,1.09792985,1.12762900,1.07671323,1.80195200
2026-05-25 06:40:00,BTCUSDT,100118.6570000000000000,7746048126.5191280000000000,1.09748842,1.12862000,1.07595277,2.01315300
